model,model_display,panel_order,k,budget,budget_order,final_sufficiency,highlight_path
openai_gpt-oss-120B_medium,gpt-oss-120B-med,4,2,4x1,5,0.3825,1x4 → 2x2 → 4x1
openai_gpt-oss-120B_medium,gpt-oss-120B-med,4,2,5x1,6,0.4325,
openai_gpt-oss-120B_medium,gpt-oss-120B-med,4,2,6x1,7,0.5225,3x2 → 6x1
openai_gpt-oss-120B_medium,gpt-oss-120B-med,4,2,7x1,8,0.5825,
openai_gpt-oss-120B_medium,gpt-oss-120B-med,4,2,8x1,9,0.58,
openai_gpt-oss-120B_medium,gpt-oss-120B-med,4,2,9x1,10,0.59,
openai_gpt-oss-120B_medium,gpt-oss-120B-med,4,2,10x1,11,0.5775,
openai_gpt-oss-120B_medium,gpt-oss-120B-med,4,2,No budget,12,0.795,
openai_gpt-oss-120B_medium,gpt-oss-120B-med,4,3,1x4,0,0.085,1x4 → 2x2 → 4x1
openai_gpt-oss-120B_medium,gpt-oss-120B-med,4,3,2x1,1,0.0,
openai_gpt-oss-120B_medium,gpt-oss-120B-med,4,3,2x2,2,0.1,1x4 → 2x2 → 4x1
openai_gpt-oss-120B_medium,gpt-oss-120B-med,4,3,3x1,3,0.05,
openai_gpt-oss-120B_medium,gpt-oss-120B-med,4,3,3x2,4,0.2575,3x2 → 6x1
openai_gpt-oss-120B_medium,gpt-oss-120B-med,4,3,4x1,5,0.155,1x4 → 2x2 → 4x1
openai_gpt-oss-120B_medium,gpt-oss-120B-med,4,3,5x1,6,0.2625,
openai_gpt-oss-120B_medium,gpt-oss-120B-med,4,3,6x1,7,0.35,3x2 → 6x1
openai_gpt-oss-120B_medium,gpt-oss-120B-med,4,3,7x1,8,0.38,
openai_gpt-oss-120B_medium,gpt-oss-120B-med,4,3,8x1,9,0.455,
openai_gpt-oss-120B_medium,gpt-oss-120B-med,4,3,9x1,10,0.4275,
openai_gpt-oss-120B_medium,gpt-oss-120B-med,4,3,10x1,11,0.4325,
openai_gpt-oss-120B_medium,gpt-oss-120B-med,4,3,No budget,12,0.6875,
openai_gpt-oss-20B_high,gpt-oss-20B-high,5,1,1x4,0,0.59,1x4 → 2x2 → 4x1
openai_gpt-oss-20B_high,gpt-oss-20B-high,5,1,2x1,1,0.5975,
openai_gpt-oss-20B_high,gpt-oss-20B-high,5,1,2x2,2,0.74,1x4 → 2x2 → 4x1
openai_gpt-oss-20B_high,gpt-oss-20B-high,5,1,3x1,3,0.79,
openai_gpt-oss-20B_high,gpt-oss-20B-high,5,1,3x2,4,0.85,3x2 → 6x1
openai_gpt-oss-20B_high,gpt-oss-20B-high,5,1,4x1,5,0.835,1x4 → 2x2 → 4x1
openai_gpt-oss-20B_high,gpt-oss-20B-high,5,1,5x1,6,0.875,
openai_gpt-oss-20B_high,gpt-oss-20B-high,5,1,6x1,7,0.8925,3x2 → 6x1
openai_gpt-oss-20B_high,gpt-oss-20B-high,5,1,7x1,8,0.925,
openai_gpt-oss-20B_high,gpt-oss-20B-high,5,1,8x1,9,0.92,
